name,folder,found,appid,steamUrl,imageDownloaded
Age of Conquest IV,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Age of Conquest IV,True,314970,https://store.steampowered.com/app/314970/,True
Air Brawl,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Air Brawl,True,375600,https://store.steampowered.com/app/375600/,True
Albion online,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Albion online,True,761890,https://store.steampowered.com/app/761890/,True
Alchemy Unbound,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Alchemy Unbound,True,2858840,https://store.steampowered.com/app/2858840/,True
Ampersat,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Ampersat,True,1356040,https://store.steampowered.com/app/1356040/,True
Anchors start,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Anchors start,True,3884830,https://store.steampowered.com/app/3884830/,False
Aplovare collection,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Aplovare collection,False,,,False
Astral party,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Astral party,True,2622000,https://store.steampowered.com/app/2622000/,True
Atlyss,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Atlyss,True,2768430,https://store.steampowered.com/app/2768430/,True
AWARIA,d:\CWP\clockworksproduction.github.io\docs\asset\Game\AWARIA,True,3274300,https://store.steampowered.com/app/3274300/,True
Balatro,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Balatro,True,2379780,https://store.steampowered.com/app/2379780/,True
Besiege,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Besiege,True,346010,https://store.steampowered.com/app/346010/,True
bitburner,d:\CWP\clockworksproduction.github.io\docs\asset\Game\bitburner,True,1812820,https://store.steampowered.com/app/1812820/,True
Black desert,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Black desert,True,582660,https://store.steampowered.com/app/582660/,True
Black skyland,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Black skyland,True,1799480,https://store.steampowered.com/app/1799480/,True
Blasterbeat,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Blasterbeat,True,1575680,https://store.steampowered.com/app/1575680/,True
bloody hell,d:\CWP\clockworksproduction.github.io\docs\asset\Game\bloody hell,True,2056220,https://store.steampowered.com/app/2056220/,True
Boardland,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Boardland,True,2735620,https://store.steampowered.com/app/2735620/,True
Borderland 2,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Borderland 2,True,2592160,https://store.steampowered.com/app/2592160/,True
bronzebeard's tarven,d:\CWP\clockworksproduction.github.io\docs\asset\Game\bronzebeard's tarven,False,,,False
buckshot roulette,d:\CWP\clockworksproduction.github.io\docs\asset\Game\buckshot roulette,True,2835570,https://store.steampowered.com/app/2835570/,True
Call of Duty(2022),d:\CWP\clockworksproduction.github.io\docs\asset\Game\Call of Duty(2022),True,2885870,https://store.steampowered.com/app/2885870/,True
Call of War,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Call of War,True,815351,https://store.steampowered.com/app/815351/,True
Cast & spell,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Cast & spell,True,3032020,https://store.steampowered.com/app/3032020/,True
Cave crawer,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Cave crawer,False,,,False
cell to singuality,d:\CWP\clockworksproduction.github.io\docs\asset\Game\cell to singuality,False,,,False
chamber the outlaw,d:\CWP\clockworksproduction.github.io\docs\asset\Game\chamber the outlaw,True,1372690,https://store.steampowered.com/app/1372690/,True
cityidel,d:\CWP\clockworksproduction.github.io\docs\asset\Game\cityidel,False,,,False
cividel,d:\CWP\clockworksproduction.github.io\docs\asset\Game\cividel,False,,,False
content warning,d:\CWP\clockworksproduction.github.io\docs\asset\Game\content warning,True,2881650,https://store.steampowered.com/app/2881650/,True
cookard,d:\CWP\clockworksproduction.github.io\docs\asset\Game\cookard,True,2919650,https://store.steampowered.com/app/2919650/,True
CS2,d:\CWP\clockworksproduction.github.io\docs\asset\Game\CS2,True,730,https://store.steampowered.com/app/730/,True
craterbound,d:\CWP\clockworksproduction.github.io\docs\asset\Game\craterbound,True,1715750,https://store.steampowered.com/app/1715750/,True
crossout,d:\CWP\clockworksproduction.github.io\docs\asset\Game\crossout,True,386180,https://store.steampowered.com/app/386180/,True
crusader king II,d:\CWP\clockworksproduction.github.io\docs\asset\Game\crusader king II,True,3024040,https://store.steampowered.com/app/3024040/,True
Cureocity,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Cureocity,True,2612680,https://store.steampowered.com/app/2612680/,True
Dark and Darker,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Dark and Darker,True,2016590,https://store.steampowered.com/app/2016590/,True
Dark lord,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Dark lord,True,3464630,https://store.steampowered.com/app/3464630/,True
DCS,d:\CWP\clockworksproduction.github.io\docs\asset\Game\DCS,True,223750,https://store.steampowered.com/app/223750/,True
Deepest sword,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Deepest sword,True,1647160,https://store.steampowered.com/app/1647160/,True
Desserted Island,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Desserted Island,True,1597580,https://store.steampowered.com/app/1597580/,True
Disfigure,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Disfigure,True,2083160,https://store.steampowered.com/app/2083160/,True
Dominion,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Dominion,True,1131620,https://store.steampowered.com/app/1131620/,True
Don't starve together,d:\CWP\clockworksproduction.github.io\docs\asset\Game\Don't starve together,True,322330,https://store.steampowered.com/app/322330/,True
