"name","created","found","appid","steamUrl","image"
"Age of conquest IV","True","True","314970","https://store.steampowered.com/app/314970/","header.jpg"
"Air Brawl","True","True","375600","https://store.steampowered.com/app/375600/","header.jpg"
"Albion online","True","True","761890","https://store.steampowered.com/app/761890/","header.jpg"
"Alchemy Unbound","True","True","2858840","https://store.steampowered.com/app/2858840/","header.jpg"
"Ampersat","True","True","1356040","https://store.steampowered.com/app/1356040/","header.jpg"
"Anchors start","True","True","3884830","https://store.steampowered.com/app/3884830/",
"Aplovare collection","True","False",,,
"Astral party","True","True","2622000","https://store.steampowered.com/app/2622000/","header.jpg"
"Atlyss","False","True","2768430","https://store.steampowered.com/app/2768430/","header.jpg"
"AWARIA","True","True","3274300","https://store.steampowered.com/app/3274300/","header.jpg"
"Balatro","False","True","2379780","https://store.steampowered.com/app/2379780/","header.jpg"
"Besiege","True","True","346010","https://store.steampowered.com/app/346010/","header.jpg"
"bitburner","True","True","1812820","https://store.steampowered.com/app/1812820/","header.jpg"
"Black desert","True","True","582660","https://store.steampowered.com/app/582660/","header.jpg"
"Black skyland","True","True","1799480","https://store.steampowered.com/app/1799480/","header.jpg"
"Blasterbeat","True","True","1575680","https://store.steampowered.com/app/1575680/","header.jpg"
"bloody hell","True","True","2056220","https://store.steampowered.com/app/2056220/","header.jpg"
"Boardland","True","True","2735620","https://store.steampowered.com/app/2735620/","header.jpg"
"Borderland 2","True","True","2592160","https://store.steampowered.com/app/2592160/","header.jpg"
"bronzebeard's tarven","True","False",,,
"buckshot roulette","False","True","2835570","https://store.steampowered.com/app/2835570/","header.jpg"
"CoD(2022)","True","False",,,
"Call of War","True","True","815351","https://store.steampowered.com/app/815351/","header.jpg"
"Cast & spell","True","True","3032020","https://store.steampowered.com/app/3032020/","header.jpg"
"Cave crawer","True","False",,,
"cell to singuality","True","False",,,
"chamber the outlaw","True","True","2691350","https://store.steampowered.com/app/2691350/","header.jpg"
"cityidel","True","False",,,
"cividel","True","False",,,
