"name","folder","created","steamLink","appid","metaFetched","hasImage"
"Age of Conquest IV","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Age of Conquest IV","False","False",,"False","True"
"Air Brawl","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Air Brawl","False","False",,"False","True"
"Albion online","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Albion online","False","False",,"False","True"
"Alchemy Unbound","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Alchemy Unbound","False","True","2858840","True","True"
"Ampersat","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Ampersat","False","True","1356040","True","True"
"Anchors start","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Anchors start","False","False",,"False","False"
"Aplovare collection","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Aplovare collection","False","False",,"False","False"
"Astral party","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Astral party","False","True","2622000","True","True"
"Atlyss","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Atlyss","False","True","2768430","True","True"
"AWARIA","D:\CWP\clockworksproduction.github.io\docs\asset\Game\AWARIA","False","True","3274300","True","True"
"Balatro","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Balatro","False","True","2379780","True","True"
"Besiege","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Besiege","False","True","346010","True","True"
"bitburner","D:\CWP\clockworksproduction.github.io\docs\asset\Game\bitburner","False","True","1812650","True","True"
"Black desert","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Black desert","False","False",,"False","True"
"Black skyland","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Black skyland","False","True","1143810","True","True"
"Blasterbeat","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Blasterbeat","False","True","1575680","True","True"
"bloody hell","D:\CWP\clockworksproduction.github.io\docs\asset\Game\bloody hell","False","False",,"False","True"
"Boardland","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Boardland","False","True","1206120","True","False"
"Borderland 2","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Borderland 2","False","False",,"False","True"
"bronzebeard's tarven","D:\CWP\clockworksproduction.github.io\docs\asset\Game\bronzebeard's tarven","False","False",,"False","False"
"buckshot roulette","D:\CWP\clockworksproduction.github.io\docs\asset\Game\buckshot roulette","False","True","2835700","True","True"
"Call of Duty(2022)","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Call of Duty(2022)","True","False",,"False","False"
"Call of War","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Call of War","False","False",,"False","True"
"Cast & spell","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Cast & spell","False","True","3032020","True","True"
"Cave crawer","D:\CWP\clockworksproduction.github.io\docs\asset\Game\Cave crawer","False","False",,"False","False"
"cell to singuality","D:\CWP\clockworksproduction.github.io\docs\asset\Game\cell to singuality","False","False",,"False","False"
"chamber the outlaw","D:\CWP\clockworksproduction.github.io\docs\asset\Game\chamber the outlaw","False","False",,"False","True"
